,mesh_sizes,times_microseconds_cuda,times_microseconds_parallel,times_microseconds_cuda_memcopy
0,316,3915788,33853535,5584382
1,316,3975014,33705515,5590067
2,316,4251218,33723829,5611686
3,316,4786787,33551989,5602742
4,316,4783686,33842192,5612332
5,387,5726598,53593692,8203582
6,387,5702406,53270140,8209156
7,387,6020252,53252910,8206769
8,387,6890851,53762469,8198252
9,387,6885048,53953087,8214567
10,447,7617844,75222045,10777678
11,447,7648914,75549676,10760269
12,447,9089728,75535192,10800513
13,447,9064490,75262894,10764577
14,447,9048568,75809644,10752357
15,500,9412415,98025608,13347022
16,500,10390732,97865999,13327745
17,500,11281601,97786824,13333246
18,500,11268962,98185892,13308361
19,500,11268692,97754888,13346080
20,547,11403951,121294855,15722663
21,547,13450203,121704742,15743308
22,547,12236078,121359054,15741565
23,547,13483684,121386237,15779676
24,547,13467545,121270261,15753822
25,591,13526816,145575094,18226996
26,591,15723559,145957053,18213331
27,591,15719599,145972321,18187692
28,591,15737934,145853507,18186498
29,591,15695984,145521751,18223196
30,632,15755029,169543787,20647667
31,632,17829510,170085431,20682403
32,632,17836209,169532177,20656931
33,632,17840606,169382142,20680993
34,632,17844083,169418293,20629264
35,670,17422200,193428526,23164610
36,670,19988262,193579808,23225299
37,670,19971696,193798729,23123793
38,670,19989785,193774025,23137152
39,670,20058976,193772781,23138227
40,707,19628266,218667122,25756741
41,707,22166773,218069804,25726870
42,707,22163093,218279574,25777122
43,707,22220686,217943400,25733983
44,707,22238405,218167119,25807177
45,741,21534751,241835835,28294204
46,741,24280442,242142595,28316863
47,741,24483145,242226036,28304542
48,741,24343241,241993440,28313526
49,741,24324715,241338964,28282442
50,774,23533007,267753109,30936200
51,774,26466135,267902856,30876474
52,774,26486497,267814800,30924575
53,774,26506246,267810852,30876681
54,774,26487834,267723185,30816348
55,806,25738484,293133422,33878681
56,806,28642809,293400299,33756166
57,806,28675481,293142311,33679957
58,806,28711243,292846834,33712670
59,806,28684783,292770884,33668376
60,836,28226763,317455418,36158414
61,836,30762382,316759181,36261152
62,836,31667305,317295379,36266791
63,836,30816820,317435505,36191436
64,836,30818840,317510786,36084510
65,866,30302022,345169837,38819182
66,866,32975767,344921177,38716169
67,866,33007825,344350815,38832422
68,866,33015009,345393853,38798692
69,866,33023175,345306630,38787394
